Time difference of 3.338911 hours
[1] "==============="
Boosted Classification Trees 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 720, 719, 720, 720, ... 

Resampling results across tuning parameters:

  iter  maxdepth  Accuracy  Kappa  Accuracy SD  Kappa SD
   50    1        0.791     0.582  0.0565       0.1130  
   50    2        0.831     0.661  0.0531       0.1062  
   50    3        0.862     0.724  0.0438       0.0876  
   50    4        0.863     0.726  0.0364       0.0727  
   50    5        0.869     0.739  0.0480       0.0958  
   50    6        0.871     0.743  0.0453       0.0906  
   50    7        0.864     0.729  0.0405       0.0808  
   50    8        0.865     0.730  0.0469       0.0937  
   50    9        0.879     0.758  0.0379       0.0757  
   50   10        0.868     0.736  0.0421       0.0842  
   50   11        0.872     0.745  0.0349       0.0696  
   50   12        0.873     0.745  0.0441       0.0881  
  100    1        0.806     0.612  0.0556       0.1112  
  100    2        0.832     0.664  0.0569       0.1135  
  100    3        0.852     0.705  0.0464       0.0928  
  100    4        0.866     0.732  0.0500       0.1000  
  100    5        0.866     0.733  0.0441       0.0881  
  100    6        0.873     0.746  0.0342       0.0684  
  100    7        0.873     0.745  0.0451       0.0902  
  100    8        0.881     0.761  0.0456       0.0913  
  100    9        0.874     0.749  0.0419       0.0838  
  100   10        0.876     0.751  0.0360       0.0718  
  100   11        0.873     0.746  0.0381       0.0761  
  100   12        0.874     0.749  0.0353       0.0706  
  150    1        0.813     0.626  0.0526       0.1050  
  150    2        0.844     0.689  0.0538       0.1078  
  150    3        0.865     0.730  0.0487       0.0973  
  150    4        0.874     0.747  0.0466       0.0932  
  150    5        0.874     0.749  0.0419       0.0837  
  150    6        0.873     0.745  0.0474       0.0948  
  150    7        0.875     0.750  0.0450       0.0899  
  150    8        0.881     0.763  0.0469       0.0937  
  150    9        0.873     0.746  0.0490       0.0979  
  150   10        0.878     0.756  0.0415       0.0829  
  150   11        0.879     0.759  0.0442       0.0883  
  150   12        0.878     0.756  0.0347       0.0694  
  200    1        0.819     0.639  0.0571       0.1142  
  200    2        0.847     0.694  0.0448       0.0897  
  200    3        0.866     0.731  0.0510       0.1020  
  200    4        0.871     0.741  0.0385       0.0770  
  200    5        0.872     0.744  0.0458       0.0915  
  200    6        0.879     0.757  0.0376       0.0751  
  200    7        0.875     0.750  0.0433       0.0865  
  200    8        0.876     0.752  0.0422       0.0844  
  200    9        0.873     0.745  0.0374       0.0748  
  200   10        0.877     0.755  0.0378       0.0756  
  200   11        0.879     0.759  0.0365       0.0729  
  200   12        0.871     0.742  0.0396       0.0791  
  250    1        0.813     0.626  0.0566       0.1133  
  250    2        0.843     0.685  0.0483       0.0967  
  250    3        0.871     0.741  0.0418       0.0835  
  250    4        0.867     0.735  0.0421       0.0843  
  250    5        0.874     0.747  0.0392       0.0785  
  250    6        0.873     0.746  0.0369       0.0738  
  250    7        0.879     0.757  0.0356       0.0711  
  250    8        0.871     0.741  0.0423       0.0847  
  250    9        0.879     0.757  0.0428       0.0856  
  250   10        0.879     0.757  0.0412       0.0826  
  250   11        0.874     0.747  0.0376       0.0751  
  250   12        0.869     0.739  0.0443       0.0885  
  300    1        0.812     0.625  0.0546       0.1092  
  300    2        0.846     0.691  0.0503       0.1009  
  300    3        0.858     0.716  0.0463       0.0927  
  300    4        0.871     0.741  0.0382       0.0763  
  300    5        0.868     0.736  0.0340       0.0680  
  300    6        0.877     0.754  0.0364       0.0728  
  300    7        0.874     0.747  0.0441       0.0880  
  300    8        0.870     0.740  0.0323       0.0645  
  300    9        0.878     0.756  0.0403       0.0805  
  300   10        0.877     0.755  0.0376       0.0753  
  300   11        0.877     0.754  0.0399       0.0797  
