Time difference of 35.70264 mins
[1] "==============="
Model Averaged Neural Network 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  size  decay     Accuracy  Kappa  Accuracy SD  Kappa SD
   1    0.000000  0.794     0.589  0.0444       0.0888  
   1    0.000100  0.788     0.576  0.0439       0.0881  
   1    0.000200  0.797     0.595  0.0328       0.0658  
   1    0.000398  0.798     0.596  0.0380       0.0763  
   1    0.000794  0.799     0.598  0.0381       0.0767  
   1    0.001585  0.795     0.590  0.0378       0.0756  
   1    0.003162  0.806     0.611  0.0359       0.0719  
   1    0.006310  0.799     0.598  0.0363       0.0729  
   1    0.012589  0.799     0.597  0.0303       0.0608  
   1    0.025119  0.812     0.624  0.0363       0.0728  
   1    0.050119  0.808     0.616  0.0353       0.0709  
   1    0.100000  0.804     0.609  0.0345       0.0695  
   3    0.000000  0.796     0.592  0.0369       0.0743  
   3    0.000100  0.793     0.586  0.0399       0.0799  
   3    0.000200  0.798     0.596  0.0397       0.0796  
   3    0.000398  0.789     0.578  0.0446       0.0893  
   3    0.000794  0.802     0.603  0.0411       0.0825  
   3    0.001585  0.800     0.600  0.0413       0.0828  
   3    0.003162  0.796     0.591  0.0439       0.0880  
   3    0.006310  0.799     0.599  0.0387       0.0773  
   3    0.012589  0.809     0.619  0.0382       0.0766  
   3    0.025119  0.804     0.609  0.0341       0.0682  
   3    0.050119  0.823     0.646  0.0307       0.0615  
   3    0.100000  0.820     0.640  0.0366       0.0736  
   5    0.000000  0.802     0.603  0.0386       0.0777  
   5    0.000100  0.804     0.609  0.0354       0.0711  
   5    0.000200  0.797     0.593  0.0416       0.0836  
   5    0.000398  0.797     0.594  0.0373       0.0747  
   5    0.000794  0.805     0.610  0.0401       0.0802  
   5    0.001585  0.806     0.611  0.0371       0.0746  
   5    0.003162  0.811     0.621  0.0431       0.0864  
   5    0.006310  0.800     0.600  0.0358       0.0718  
   5    0.012589  0.804     0.609  0.0377       0.0754  
   5    0.025119  0.816     0.633  0.0393       0.0789  
   5    0.050119  0.832     0.665  0.0402       0.0806  
   5    0.100000  0.823     0.645  0.0396       0.0794  
   7    0.000000  0.808     0.615  0.0460       0.0921  
   7    0.000100  0.804     0.609  0.0381       0.0765  
   7    0.000200  0.798     0.596  0.0393       0.0788  
   7    0.000398  0.795     0.590  0.0380       0.0762  
   7    0.000794  0.801     0.601  0.0404       0.0811  
   7    0.001585  0.815     0.630  0.0419       0.0841  
   7    0.003162  0.805     0.610  0.0298       0.0599  
   7    0.006310  0.807     0.615  0.0368       0.0739  
   7    0.012589  0.811     0.621  0.0458       0.0916  
   7    0.025119  0.805     0.610  0.0356       0.0717  
   7    0.050119  0.811     0.621  0.0371       0.0744  
   7    0.100000  0.833     0.665  0.0435       0.0874  
   9    0.000000  0.797     0.594  0.0472       0.0945  
   9    0.000100  0.801     0.601  0.0353       0.0707  
   9    0.000200  0.802     0.604  0.0351       0.0704  
   9    0.000398  0.801     0.601  0.0408       0.0818  
   9    0.000794  0.809     0.619  0.0317       0.0637  
   9    0.001585  0.806     0.611  0.0332       0.0665  
   9    0.003162  0.809     0.619  0.0455       0.0911  
   9    0.006310  0.813     0.625  0.0405       0.0810  
   9    0.012589  0.811     0.621  0.0427       0.0854  
   9    0.025119  0.825     0.650  0.0362       0.0723  
   9    0.050119  0.815     0.630  0.0376       0.0753  
   9    0.100000  0.838     0.675  0.0287       0.0574  
  11    0.000000  0.796     0.592  0.0459       0.0918  
  11    0.000100  0.801     0.602  0.0336       0.0674  
  11    0.000200  0.797     0.594  0.0372       0.0748  
  11    0.000398  0.803     0.605  0.0362       0.0726  
  11    0.000794  0.789     0.578  0.0378       0.0757  
  11    0.001585  0.803     0.605  0.0436       0.0875  
  11    0.003162  0.814     0.627  0.0343       0.0688  
  11    0.006310  0.812     0.624  0.0326       0.0652  
  11    0.012589  0.811     0.622  0.0429       0.0861  
  11    0.025119  0.818     0.636  0.0443       0.0888  
  11    0.050119  0.825     0.650  0.0346       0.0693  
  11    0.100000  0.832     0.664  0.0391       0.0781  
  13    0.000000  0.804     0.607  0.0397       0.0797  
  13    0.000100  0.801     0.601  0.0362       0.0726  
  13    0.000200  0.808     0.615  0.0373       0.0749  
  13    0.000398  0.808     0.616  0.0436       0.0876  
  13    0.000794  0.811     0.622  0.0443       0.0888  
  13    0.001585  0.803     0.606  0.0439       0.0878  
  13    0.003162  0.814     0.629  0.0421       0.0842  
  13    0.006310  0.813     0.625  0.0395       0.0794  
  13    0.012589  0.824     0.647  0.0464       0.0930  
  13    0.025119  0.836     0.672  0.0347       0.0696  
  13    0.050119  0.829     0.659  0.0361       0.0722  
  13    0.100000  0.835     0.670  0.0394       0.0787  
  15    0.000000  0.801     0.602  0.0533       0.1066  
  15    0.000100  0.796     0.592  0.0402       0.0809  
  15    0.000200  0.811     0.622  0.0425       0.0852  
  15    0.000398  0.801     0.601  0.0420       0.0843  
  15    0.000794  0.813     0.625  0.0481       0.0963  
  15    0.001585  0.821     0.641  0.0477       0.0956  
  15    0.003162  0.815     0.630  0.0394       0.0789  
  15    0.006310  0.812     0.625  0.0416       0.0833  
  15    0.012589  0.821     0.642  0.0378       0.0758  
  15    0.025119  0.824     0.647  0.0384       0.0769  
  15    0.050119  0.838     0.675  0.0328       0.0659  
  15    0.100000  0.843     0.686  0.0409       0.0819  
  17    0.000000  0.804     0.607  0.0416       0.0835  
  17    0.000100  0.803     0.606  0.0417       0.0835  
  17    0.000200  0.803     0.605  0.0422       0.0847  
  17    0.000398  0.800     0.600  0.0302       0.0606  
  17    0.000794  0.806     0.612  0.0437       0.0875  
  17    0.001585  0.813     0.625  0.0389       0.0781  
  17    0.003162  0.822     0.644  0.0383       0.0768  
  17    0.006310  0.818     0.636  0.0386       0.0774  
  17    0.012589  0.819     0.639  0.0345       0.0691  
  17    0.025119  0.840     0.680  0.0385       0.0773  
  17    0.050119  0.842     0.684  0.0347       0.0695  
  17    0.100000  0.844     0.687  0.0345       0.0693  
  19    0.000000  0.798     0.596  0.0402       0.0805  
  19    0.000100  0.811     0.622  0.0357       0.0715  
  19    0.000200  0.799     0.599  0.0456       0.0915  
  19    0.000398  0.804     0.607  0.0355       0.0712  
  19    0.000794  0.811     0.621  0.0404       0.0812  
  19    0.001585  0.811     0.621  0.0443       0.0890  
  19    0.003162  0.823     0.645  0.0411       0.0828  
  19    0.006310  0.820     0.640  0.0334       0.0671  
  19    0.012589  0.826     0.652  0.0362       0.0726  
  19    0.025119  0.840     0.680  0.0321       0.0644  
  19    0.050119  0.845     0.690  0.0377       0.0756  
  19    0.100000  0.846     0.691  0.0378       0.0757  
  21    0.000000  0.805     0.610  0.0423       0.0849  
  21    0.000100  0.809     0.618  0.0325       0.0653  
  21    0.000200  0.816     0.632  0.0392       0.0786  
  21    0.000398  0.803     0.605  0.0349       0.0700  
  21    0.000794  0.809     0.619  0.0443       0.0887  
  21    0.001585  0.814     0.627  0.0357       0.0717  
  21    0.003162  0.807     0.615  0.0404       0.0809  
  21    0.006310  0.816     0.631  0.0414       0.0831  
  21    0.012589  0.833     0.666  0.0404       0.0810  
  21    0.025119  0.844     0.689  0.0280       0.0559  
  21    0.050119  0.846     0.691  0.0373       0.0746  
