Time difference of 28.21059 mins
[1] "==============="
Self-Organizing Map 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  xdim  ydim  xweight  Accuracy  Kappa  Accuracy SD  Kappa SD
   1     2    0.500    0.781     0.563  0.0445       0.0889  
   1     2    0.536    0.793     0.585  0.0474       0.0945  
   1     2    0.573    0.794     0.587  0.0606       0.1211  
   1     2    0.609    0.796     0.592  0.0617       0.1230  
   1     2    0.645    0.789     0.579  0.0569       0.1135  
   1     2    0.682    0.781     0.563  0.0523       0.1041  
   1     2    0.718    0.793     0.585  0.0572       0.1141  
   1     2    0.755    0.786     0.572  0.0600       0.1197  
   1     2    0.791    0.784     0.569  0.0488       0.0973  
   1     2    0.827    0.781     0.561  0.0554       0.1107  
   1     2    0.864    0.785     0.570  0.0640       0.1275  
   1     2    0.900    0.786     0.573  0.0553       0.1104  
   1     3    0.500    0.804     0.608  0.0417       0.0835  
   1     3    0.536    0.789     0.578  0.0517       0.1029  
   1     3    0.573    0.799     0.598  0.0571       0.1136  
   1     3    0.609    0.796     0.591  0.0628       0.1257  
   1     3    0.645    0.802     0.604  0.0512       0.1018  
   1     3    0.682    0.796     0.592  0.0552       0.1102  
   1     3    0.718    0.788     0.575  0.0416       0.0835  
   1     3    0.755    0.795     0.589  0.0560       0.1121  
   1     3    0.791    0.794     0.587  0.0527       0.1053  
   1     3    0.827    0.791     0.583  0.0534       0.1064  
   1     3    0.864    0.805     0.609  0.0529       0.1059  
   1     3    0.900    0.801     0.601  0.0472       0.0938  
   1     4    0.500    0.834     0.667  0.0374       0.0747  
   1     4    0.536    0.834     0.668  0.0477       0.0956  
   1     4    0.573    0.831     0.663  0.0508       0.1014  
   1     4    0.609    0.836     0.673  0.0435       0.0870  
   1     4    0.645    0.836     0.672  0.0448       0.0896  
   1     4    0.682    0.830     0.660  0.0373       0.0745  
   1     4    0.718    0.836     0.673  0.0427       0.0854  
   1     4    0.755    0.831     0.662  0.0453       0.0906  
   1     4    0.791    0.837     0.674  0.0425       0.0849  
   1     4    0.827    0.828     0.655  0.0457       0.0916  
   1     4    0.864    0.826     0.652  0.0458       0.0913  
   1     4    0.900    0.828     0.656  0.0472       0.0944  
   1     5    0.500    0.863     0.725  0.0375       0.0752  
   1     5    0.536    0.856     0.711  0.0364       0.0727  
   1     5    0.573    0.856     0.713  0.0441       0.0881  
   1     5    0.609    0.852     0.704  0.0298       0.0595  
   1     5    0.645    0.853     0.706  0.0287       0.0574  
   1     5    0.682    0.848     0.696  0.0336       0.0673  
   1     5    0.718    0.860     0.720  0.0377       0.0753  
   1     5    0.755    0.859     0.718  0.0382       0.0764  
   1     5    0.791    0.853     0.705  0.0400       0.0796  
   1     5    0.827    0.858     0.716  0.0341       0.0676  
   1     5    0.864    0.846     0.691  0.0399       0.0798  
   1     5    0.900    0.853     0.705  0.0377       0.0752  
   1     6    0.500    0.850     0.700  0.0389       0.0777  
   1     6    0.536    0.851     0.702  0.0313       0.0624  
   1     6    0.573    0.848     0.695  0.0250       0.0499  
   1     6    0.609    0.848     0.695  0.0416       0.0829  
   1     6    0.645    0.846     0.693  0.0357       0.0715  
   1     6    0.682    0.854     0.708  0.0311       0.0622  
   1     6    0.718    0.851     0.702  0.0306       0.0609  
   1     6    0.755    0.851     0.702  0.0356       0.0711  
   1     6    0.791    0.861     0.723  0.0316       0.0633  
   1     6    0.827    0.851     0.701  0.0224       0.0447  
   1     6    0.864    0.853     0.706  0.0338       0.0674  
   1     6    0.900    0.858     0.717  0.0312       0.0624  
   1     7    0.500    0.834     0.669  0.0449       0.0898  
   1     7    0.536    0.851     0.701  0.0435       0.0870  
   1     7    0.573    0.842     0.684  0.0442       0.0884  
   1     7    0.609    0.854     0.708  0.0340       0.0678  
   1     7    0.645    0.853     0.707  0.0366       0.0732  
   1     7    0.682    0.847     0.694  0.0331       0.0663  
   1     7    0.718    0.851     0.702  0.0390       0.0781  
   1     7    0.755    0.853     0.707  0.0341       0.0682  
   1     7    0.791    0.850     0.700  0.0351       0.0703  
   1     7    0.827    0.849     0.698  0.0383       0.0765  
   1     7    0.864    0.851     0.703  0.0363       0.0726  
   1     7    0.900    0.843     0.686  0.0299       0.0601  
   1     8    0.500    0.859     0.719  0.0397       0.0795  
   1     8    0.536    0.846     0.692  0.0411       0.0821  
   1     8    0.573    0.852     0.704  0.0464       0.0928  
   1     8    0.609    0.841     0.683  0.0389       0.0778  
   1     8    0.645    0.846     0.693  0.0355       0.0711  
   1     8    0.682    0.855     0.710  0.0360       0.0721  
   1     8    0.718    0.858     0.715  0.0265       0.0533  
   1     8    0.755    0.848     0.697  0.0467       0.0932  
   1     8    0.791    0.843     0.687  0.0349       0.0696  
   1     8    0.827    0.841     0.683  0.0363       0.0724  
   1     8    0.864    0.848     0.697  0.0317       0.0636  
   1     8    0.900    0.844     0.688  0.0333       0.0666  
   1     9    0.500    0.847     0.694  0.0381       0.0763  
   1     9    0.536    0.852     0.704  0.0397       0.0796  
   1     9    0.573    0.856     0.711  0.0253       0.0506  
   1     9    0.609    0.847     0.695  0.0454       0.0909  
   1     9    0.645    0.841     0.683  0.0496       0.0994  
   1     9    0.682    0.838     0.675  0.0478       0.0955  
   1     9    0.718    0.854     0.709  0.0368       0.0740  
   1     9    0.755    0.843     0.686  0.0401       0.0804  
   1     9    0.791    0.850     0.699  0.0535       0.1068  
   1     9    0.827    0.841     0.681  0.0372       0.0745  
   1     9    0.864    0.846     0.691  0.0397       0.0795  
   1     9    0.900    0.851     0.702  0.0400       0.0798  
   1    10    0.500    0.835     0.670  0.0427       0.0856  
   1    10    0.536    0.847     0.694  0.0415       0.0832  
   1    10    0.573    0.856     0.711  0.0429       0.0858  
   1    10    0.609    0.832     0.664  0.0352       0.0705  
   1    10    0.645    0.846     0.693  0.0380       0.0760  
   1    10    0.682    0.843     0.685  0.0331       0.0664  
   1    10    0.718    0.851     0.701  0.0341       0.0685  
   1    10    0.755    0.840     0.680  0.0409       0.0817  
   1    10    0.791    0.834     0.668  0.0412       0.0825  
   1    10    0.827    0.843     0.686  0.0434       0.0867  
   1    10    0.864    0.846     0.693  0.0427       0.0858  
   1    10    0.900    0.842     0.684  0.0380       0.0759  
   1    11    0.500    0.834     0.669  0.0344       0.0689  
   1    11    0.536    0.831     0.662  0.0416       0.0837  
   1    11    0.573    0.843     0.686  0.0282       0.0566  
   1    11    0.609    0.849     0.698  0.0416       0.0833  
   1    11    0.645    0.834     0.668  0.0492       0.0985  
   1    11    0.682    0.843     0.686  0.0403       0.0807  
   1    11    0.718    0.829     0.659  0.0483       0.0968  
   1    11    0.755    0.844     0.689  0.0420       0.0841  
   1    11    0.791    0.835     0.670  0.0383       0.0765  
   1    11    0.827    0.852     0.704  0.0503       0.1006  
   1    11    0.864    0.848     0.695  0.0484       0.0969  
   1    11    0.900    0.832     0.664  0.0392       0.0788  
   1    12    0.500    0.848     0.696  0.0367       0.0736  
   1    12    0.536    0.840     0.680  0.0496       0.0992  
   1    12    0.573    0.841     0.683  0.0440       0.0878  
   1    12    0.609    0.838     0.675  0.0428       0.0859  
   1    12    0.645    0.836     0.673  0.0339       0.0679  
   1    12    0.682    0.845     0.690  0.0400       0.0798  
   1    12    0.718    0.843     0.687  0.0422       0.0843  
   1    12    0.755    0.842     0.685  0.0343       0.0688  
   1    12    0.791    0.839     0.679  0.0401       0.0805  
   1    12    0.827    0.847     0.694  0.0426       0.0854  
   1    12    0.864    0.839     0.679  0.0346       0.0692  
   1    12    0.900    0.833     0.665  0.0450       0.0899  
   1    13    0.500    0.835     0.670  0.0422       0.0844  
