Time difference of 2.275236 mins
[1] "==============="
Boosted Tree 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 719, 720, 721, 720, ... 

Resampling results across tuning parameters:

  maxdepth  mstop  Accuracy  Kappa  Accuracy SD  Kappa SD
   1         50    0.791     0.581  0.0488       0.0978  
   1        100    0.793     0.586  0.0452       0.0907  
   1        150    0.793     0.586  0.0452       0.0907  
   1        200    0.793     0.586  0.0452       0.0907  
   1        250    0.793     0.586  0.0452       0.0907  
   1        300    0.793     0.586  0.0452       0.0907  
   1        350    0.793     0.586  0.0452       0.0907  
   1        400    0.793     0.586  0.0452       0.0907  
   1        450    0.793     0.586  0.0452       0.0907  
   1        500    0.793     0.586  0.0452       0.0907  
   1        550    0.793     0.586  0.0452       0.0907  
   1        600    0.793     0.586  0.0452       0.0907  
   2         50    0.837     0.673  0.0405       0.0809  
   2        100    0.837     0.673  0.0405       0.0809  
   2        150    0.837     0.673  0.0405       0.0809  
   2        200    0.837     0.673  0.0405       0.0809  
   2        250    0.837     0.673  0.0405       0.0809  
   2        300    0.837     0.673  0.0405       0.0809  
   2        350    0.837     0.673  0.0405       0.0809  
   2        400    0.837     0.673  0.0405       0.0809  
   2        450    0.837     0.673  0.0405       0.0809  
   2        500    0.837     0.673  0.0405       0.0809  
   2        550    0.837     0.673  0.0405       0.0809  
   2        600    0.837     0.673  0.0405       0.0809  
   3         50    0.847     0.694  0.0325       0.0649  
   3        100    0.847     0.694  0.0338       0.0674  
   3        150    0.847     0.694  0.0338       0.0674  
   3        200    0.847     0.694  0.0338       0.0674  
   3        250    0.847     0.694  0.0338       0.0674  
   3        300    0.847     0.694  0.0338       0.0674  
   3        350    0.847     0.694  0.0338       0.0674  
   3        400    0.847     0.694  0.0338       0.0674  
   3        450    0.847     0.694  0.0338       0.0674  
   3        500    0.847     0.694  0.0338       0.0674  
   3        550    0.847     0.694  0.0338       0.0674  
   3        600    0.847     0.694  0.0338       0.0674  
   4         50    0.867     0.735  0.0293       0.0586  
   4        100    0.868     0.736  0.0307       0.0615  
   4        150    0.868     0.736  0.0307       0.0615  
   4        200    0.868     0.736  0.0307       0.0615  
   4        250    0.868     0.736  0.0307       0.0615  
   4        300    0.868     0.736  0.0307       0.0615  
   4        350    0.868     0.736  0.0307       0.0615  
   4        400    0.868     0.736  0.0307       0.0615  
   4        450    0.868     0.736  0.0307       0.0615  
   4        500    0.868     0.736  0.0307       0.0615  
   4        550    0.868     0.736  0.0307       0.0615  
   4        600    0.868     0.736  0.0307       0.0615  
   5         50    0.866     0.731  0.0388       0.0774  
   5        100    0.866     0.731  0.0377       0.0752  
   5        150    0.866     0.731  0.0377       0.0752  
   5        200    0.866     0.731  0.0377       0.0752  
   5        250    0.866     0.731  0.0377       0.0752  
   5        300    0.866     0.731  0.0377       0.0752  
   5        350    0.866     0.731  0.0377       0.0752  
   5        400    0.866     0.731  0.0377       0.0752  
   5        450    0.866     0.731  0.0377       0.0752  
   5        500    0.866     0.731  0.0377       0.0752  
   5        550    0.866     0.731  0.0377       0.0752  
   5        600    0.866     0.731  0.0377       0.0752  
   6         50    0.872     0.745  0.0323       0.0647  
   6        100    0.873     0.746  0.0320       0.0639  
   6        150    0.873     0.746  0.0320       0.0639  
   6        200    0.873     0.746  0.0320       0.0639  
   6        250    0.873     0.746  0.0320       0.0639  
   6        300    0.873     0.746  0.0320       0.0639  
   6        350    0.873     0.746  0.0320       0.0639  
   6        400    0.873     0.746  0.0320       0.0639  
   6        450    0.873     0.746  0.0320       0.0639  
   6        500    0.873     0.746  0.0320       0.0639  
   6        550    0.873     0.746  0.0320       0.0639  
   6        600    0.873     0.746  0.0320       0.0639  
   7         50    0.870     0.740  0.0326       0.0651  
   7        100    0.870     0.740  0.0326       0.0651  
   7        150    0.870     0.740  0.0326       0.0651  
   7        200    0.870     0.740  0.0326       0.0651  
   7        250    0.870     0.740  0.0326       0.0651  
   7        300    0.870     0.740  0.0326       0.0651  
   7        350    0.870     0.740  0.0326       0.0651  
   7        400    0.870     0.740  0.0326       0.0651  
   7        450    0.870     0.740  0.0326       0.0651  
   7        500    0.870     0.740  0.0326       0.0651  
   7        550    0.870     0.740  0.0326       0.0651  
   7        600    0.870     0.740  0.0326       0.0651  
   8         50    0.870     0.740  0.0358       0.0715  
   8        100    0.870     0.740  0.0358       0.0715  
   8        150    0.870     0.740  0.0358       0.0715  
   8        200    0.870     0.740  0.0358       0.0715  
   8        250    0.870     0.740  0.0358       0.0715  
   8        300    0.870     0.740  0.0358       0.0715  
   8        350    0.870     0.740  0.0358       0.0715  
   8        400    0.870     0.740  0.0358       0.0715  
   8        450    0.870     0.740  0.0358       0.0715  
   8        500    0.870     0.740  0.0358       0.0715  
   8        550    0.870     0.740  0.0358       0.0715  
   8        600    0.870     0.740  0.0358       0.0715  
   9         50    0.870     0.740  0.0358       0.0715  
   9        100    0.870     0.740  0.0358       0.0715  
   9        150    0.870     0.740  0.0358       0.0715  
   9        200    0.870     0.740  0.0358       0.0715  
   9        250    0.870     0.740  0.0358       0.0715  
   9        300    0.870     0.740  0.0358       0.0715  
   9        350    0.870     0.740  0.0358       0.0715  
   9        400    0.870     0.740  0.0358       0.0715  
   9        450    0.870     0.740  0.0358       0.0715  
   9        500    0.870     0.740  0.0358       0.0715  
