Time difference of 27.1685 mins
[1] "==============="
Boosted Tree 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 719, 720, 720, 720, ... 

Resampling results across tuning parameters:

  maxdepth  mstop  Accuracy  Kappa  Accuracy SD  Kappa SD
   1         50    0.692     0.380  0.0569       0.1133  
   1        100    0.692     0.381  0.0529       0.1058  
   1        150    0.691     0.377  0.0523       0.1047  
   1        200    0.692     0.380  0.0523       0.1048  
   1        250    0.692     0.380  0.0511       0.1025  
   1        300    0.696     0.388  0.0497       0.0995  
   1        350    0.700     0.397  0.0547       0.1095  
   1        400    0.702     0.401  0.0528       0.1059  
   1        450    0.708     0.413  0.0528       0.1061  
   1        500    0.711     0.420  0.0521       0.1053  
   1        550    0.715     0.427  0.0497       0.1005  
   1        600    0.721     0.439  0.0500       0.1011  
   2         50    0.735     0.472  0.0309       0.0616  
   2        100    0.747     0.495  0.0300       0.0601  
   2        150    0.762     0.525  0.0325       0.0649  
   2        200    0.771     0.543  0.0342       0.0683  
   2        250    0.778     0.557  0.0312       0.0624  
   2        300    0.782     0.564  0.0315       0.0630  
   2        350    0.787     0.575  0.0353       0.0705  
   2        400    0.794     0.588  0.0389       0.0778  
   2        450    0.795     0.590  0.0411       0.0820  
   2        500    0.795     0.590  0.0368       0.0735  
   2        550    0.796     0.591  0.0387       0.0774  
   2        600    0.804     0.609  0.0403       0.0804  
   3         50    0.772     0.544  0.0359       0.0717  
   3        100    0.781     0.561  0.0362       0.0722  
   3        150    0.787     0.574  0.0311       0.0621  
   3        200    0.798     0.595  0.0332       0.0664  
   3        250    0.808     0.616  0.0335       0.0671  
   3        300    0.809     0.617  0.0346       0.0692  
   3        350    0.809     0.619  0.0385       0.0772  
   3        400    0.814     0.629  0.0355       0.0710  
   3        450    0.813     0.625  0.0344       0.0690  
   3        500    0.818     0.635  0.0342       0.0685  
   3        550    0.818     0.636  0.0318       0.0636  
   3        600    0.819     0.639  0.0326       0.0651  
   4         50    0.780     0.560  0.0292       0.0587  
   4        100    0.796     0.592  0.0312       0.0625  
   4        150    0.802     0.604  0.0289       0.0578  
   4        200    0.804     0.609  0.0316       0.0632  
   4        250    0.806     0.613  0.0329       0.0659  
   4        300    0.808     0.615  0.0327       0.0653  
   4        350    0.812     0.624  0.0311       0.0622  
   4        400    0.811     0.621  0.0329       0.0658  
   4        450    0.807     0.614  0.0365       0.0728  
   4        500    0.806     0.611  0.0376       0.0750  
   4        550    0.807     0.614  0.0367       0.0732  
   4        600    0.806     0.613  0.0369       0.0738  
   5         50    0.788     0.577  0.0383       0.0763  
   5        100    0.797     0.594  0.0425       0.0848  
   5        150    0.798     0.596  0.0392       0.0781  
   5        200    0.802     0.604  0.0366       0.0729  
   5        250    0.803     0.605  0.0357       0.0711  
   5        300    0.802     0.604  0.0350       0.0698  
   5        350    0.801     0.601  0.0356       0.0710  
   5        400    0.803     0.606  0.0356       0.0710  
   5        450    0.801     0.603  0.0349       0.0696  
   5        500    0.801     0.603  0.0349       0.0696  
   5        550    0.801     0.603  0.0358       0.0714  
   5        600    0.800     0.600  0.0368       0.0735  
   6         50    0.793     0.586  0.0466       0.0931  
   6        100    0.798     0.596  0.0466       0.0931  
   6        150    0.800     0.600  0.0471       0.0941  
   6        200    0.800     0.600  0.0478       0.0955  
   6        250    0.799     0.598  0.0438       0.0875  
   6        300    0.796     0.593  0.0444       0.0887  
   6        350    0.795     0.590  0.0442       0.0885  
   6        400    0.794     0.589  0.0443       0.0885  
   6        450    0.796     0.591  0.0444       0.0887  
   6        500    0.796     0.591  0.0444       0.0887  
   6        550    0.796     0.591  0.0444       0.0887  
   6        600    0.796     0.591  0.0444       0.0887  
