Time difference of 22.19623 mins
[1] "==============="
Random Forest by Randomization 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 720, 720, 720, 719, ... 

Resampling results across tuning parameters:

  mtry  numRandomCuts  Accuracy  Kappa  Accuracy SD  Kappa SD
   2     1             0.857     0.714  0.0380       0.0760  
   2     2             0.859     0.719  0.0399       0.0796  
   2     3             0.864     0.729  0.0359       0.0715  
   2     4             0.866     0.731  0.0354       0.0706  
   2     5             0.861     0.721  0.0400       0.0798  
   2     6             0.861     0.722  0.0373       0.0744  
   2     7             0.864     0.727  0.0370       0.0737  
   2     8             0.868     0.736  0.0356       0.0710  
   2     9             0.866     0.732  0.0354       0.0705  
   2    10             0.859     0.719  0.0382       0.0761  
   2    11             0.859     0.719  0.0363       0.0724  
   2    12             0.862     0.724  0.0372       0.0741  
   5     1             0.874     0.749  0.0393       0.0785  
   5     2             0.874     0.749  0.0383       0.0764  
   5     3             0.876     0.753  0.0362       0.0722  
   5     4             0.882     0.764  0.0350       0.0698  
   5     5             0.879     0.758  0.0407       0.0813  
   5     6             0.877     0.754  0.0370       0.0737  
   5     7             0.879     0.758  0.0387       0.0771  
   5     8             0.881     0.763  0.0383       0.0763  
   5     9             0.878     0.756  0.0355       0.0708  
   5    10             0.879     0.758  0.0361       0.0718  
   5    11             0.883     0.766  0.0380       0.0758  
   5    12             0.879     0.758  0.0311       0.0619  
   8     1             0.871     0.741  0.0372       0.0743  
   8     2             0.883     0.765  0.0377       0.0752  
   8     3             0.883     0.765  0.0361       0.0719  
   8     4             0.883     0.765  0.0349       0.0697  
   8     5             0.886     0.771  0.0345       0.0687  
   8     6             0.886     0.773  0.0343       0.0684  
   8     7             0.888     0.775  0.0401       0.0800  
   8     8             0.884     0.769  0.0422       0.0843  
   8     9             0.887     0.774  0.0404       0.0806  
   8    10             0.886     0.773  0.0393       0.0784  
   8    11             0.885     0.770  0.0388       0.0774  
   8    12             0.887     0.774  0.0405       0.0808  
  12     1             0.882     0.764  0.0391       0.0781  
  12     2             0.884     0.769  0.0376       0.0750  
  12     3             0.886     0.773  0.0394       0.0787  
  12     4             0.889     0.779  0.0334       0.0667  
  12     5             0.886     0.771  0.0385       0.0768  
  12     6             0.891     0.783  0.0397       0.0793  
  12     7             0.888     0.775  0.0425       0.0848  
