Time difference of 1.680458 mins
[1] "==============="
Stochastic Gradient Boosting 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 721, 720, 721, 719, ... 

Resampling results across tuning parameters:

  interaction.depth  n.trees  Accuracy  Kappa  Accuracy SD  Kappa SD
   1                  50      0.802     0.605  0.0431       0.0861  
   1                 100      0.807     0.615  0.0400       0.0800  
   1                 150      0.809     0.617  0.0377       0.0753  
   1                 200      0.812     0.625  0.0364       0.0727  
   1                 250      0.808     0.616  0.0381       0.0765  
   1                 300      0.811     0.622  0.0391       0.0786  
   1                 350      0.805     0.610  0.0414       0.0832  
   1                 400      0.800     0.601  0.0396       0.0796  
   1                 450      0.804     0.608  0.0397       0.0798  
   1                 500      0.803     0.606  0.0360       0.0723  
   1                 550      0.804     0.607  0.0361       0.0723  
   1                 600      0.802     0.603  0.0350       0.0704  
   2                  50      0.828     0.656  0.0489       0.0977  
   2                 100      0.839     0.677  0.0366       0.0732  
   2                 150      0.847     0.693  0.0358       0.0716  
   2                 200      0.854     0.707  0.0407       0.0815  
   2                 250      0.846     0.691  0.0455       0.0911  
   2                 300      0.847     0.695  0.0407       0.0815  
   2                 350      0.844     0.687  0.0411       0.0825  
   2                 400      0.842     0.683  0.0431       0.0864  
   2                 450      0.838     0.676  0.0354       0.0709  
   2                 500      0.843     0.686  0.0448       0.0899  
   2                 550      0.844     0.688  0.0410       0.0823  
   2                 600      0.844     0.687  0.0416       0.0835  
   3                  50      0.847     0.693  0.0397       0.0795  
   3                 100      0.847     0.695  0.0399       0.0799  
   3                 150      0.847     0.693  0.0440       0.0880  
   3                 200      0.849     0.698  0.0362       0.0726  
   3                 250      0.850     0.700  0.0400       0.0801  
   3                 300      0.852     0.703  0.0419       0.0839  
   3                 350      0.853     0.706  0.0385       0.0774  
   3                 400      0.852     0.705  0.0388       0.0778  
   3                 450      0.853     0.706  0.0383       0.0768  
   3                 500      0.853     0.706  0.0424       0.0851  
   3                 550      0.854     0.707  0.0354       0.0710  
   3                 600      0.856     0.712  0.0364       0.0731  
   4                  50      0.857     0.715  0.0360       0.0722  
   4                 100      0.863     0.726  0.0390       0.0782  
   4                 150      0.870     0.741  0.0438       0.0877  
   4                 200      0.859     0.717  0.0478       0.0957  
   4                 250      0.864     0.728  0.0408       0.0816  
   4                 300      0.860     0.719  0.0374       0.0750  
   4                 350      0.859     0.718  0.0375       0.0750  
   4                 400      0.862     0.723  0.0390       0.0781  
   4                 450      0.861     0.722  0.0352       0.0704  
   4                 500      0.864     0.728  0.0404       0.0811  
   4                 550      0.863     0.726  0.0378       0.0759  
   4                 600      0.860     0.719  0.0444       0.0890  
   5                  50      0.855     0.710  0.0418       0.0834  
   5                 100      0.866     0.731  0.0324       0.0648  
   5                 150      0.866     0.732  0.0317       0.0634  
   5                 200      0.865     0.730  0.0402       0.0805  
   5                 250      0.864     0.727  0.0384       0.0769  
   5                 300      0.864     0.727  0.0366       0.0733  
   5                 350      0.862     0.724  0.0397       0.0793  
   5                 400      0.868     0.735  0.0349       0.0699  
   5                 450      0.868     0.736  0.0329       0.0661  
   5                 500      0.867     0.734  0.0347       0.0695  
   5                 550      0.867     0.734  0.0323       0.0647  
   5                 600      0.869     0.737  0.0322       0.0646  
   6                  50      0.856     0.712  0.0361       0.0722  
   6                 100      0.869     0.739  0.0371       0.0743  
   6                 150      0.869     0.739  0.0409       0.0817  
   6                 200      0.867     0.735  0.0387       0.0775  
   6                 250      0.872     0.745  0.0384       0.0770  
   6                 300      0.872     0.745  0.0408       0.0816  
   6                 350      0.874     0.747  0.0394       0.0789  
   6                 400      0.871     0.741  0.0415       0.0830  
   6                 450      0.871     0.741  0.0367       0.0736  
   6                 500      0.879     0.757  0.0363       0.0726  
   6                 550      0.872     0.744  0.0399       0.0800  
   6                 600      0.874     0.747  0.0347       0.0695  
   7                  50      0.857     0.715  0.0339       0.0676  
   7                 100      0.872     0.745  0.0381       0.0762  
   7                 150      0.869     0.739  0.0341       0.0681  
   7                 200      0.872     0.744  0.0351       0.0703  
   7                 250      0.870     0.740  0.0359       0.0719  
   7                 300      0.864     0.727  0.0359       0.0719  
   7                 350      0.869     0.737  0.0382       0.0765  
   7                 400      0.867     0.735  0.0371       0.0743  
   7                 450      0.868     0.736  0.0338       0.0678  
   7                 500      0.873     0.746  0.0354       0.0709  
   7                 550      0.874     0.748  0.0355       0.0710  
   7                 600      0.871     0.741  0.0313       0.0626  
   8                  50      0.871     0.742  0.0383       0.0767  
   8                 100      0.876     0.751  0.0407       0.0816  
   8                 150      0.875     0.750  0.0355       0.0710  
   8                 200      0.878     0.756  0.0367       0.0735  
   8                 250      0.875     0.750  0.0336       0.0673  
   8                 300      0.879     0.757  0.0382       0.0764  
   8                 350      0.878     0.756  0.0337       0.0675  
   8                 400      0.876     0.752  0.0344       0.0689  
   8                 450      0.879     0.759  0.0318       0.0637  
   8                 500      0.879     0.757  0.0310       0.0619  
   8                 550      0.876     0.751  0.0356       0.0713  
   8                 600      0.875     0.750  0.0343       0.0687  
   9                  50      0.861     0.722  0.0396       0.0792  
   9                 100      0.870     0.740  0.0357       0.0714  
   9                 150      0.878     0.756  0.0428       0.0856  
   9                 200      0.876     0.752  0.0383       0.0767  
   9                 250      0.877     0.755  0.0362       0.0724  
   9                 300      0.877     0.755  0.0335       0.0670  
   9                 350      0.877     0.754  0.0264       0.0527  
   9                 400      0.882     0.764  0.0324       0.0647  
   9                 450      0.885     0.770  0.0282       0.0564  
   9                 500      0.881     0.761  0.0279       0.0558  
   9                 550      0.878     0.756  0.0340       0.0680  
   9                 600      0.881     0.762  0.0324       0.0649  
  10                  50      0.875     0.750  0.0416       0.0832  
  10                 100      0.876     0.751  0.0361       0.0720  
  10                 150      0.874     0.749  0.0366       0.0731  
  10                 200      0.879     0.759  0.0344       0.0688  
  10                 250      0.880     0.760  0.0404       0.0808  
  10                 300      0.879     0.757  0.0377       0.0756  
  10                 350      0.880     0.760  0.0397       0.0794  
  10                 400      0.880     0.760  0.0386       0.0772  
  10                 450      0.883     0.766  0.0330       0.0661  
  10                 500      0.887     0.774  0.0330       0.0660  
  10                 550      0.882     0.765  0.0312       0.0626  
  10                 600      0.884     0.767  0.0326       0.0654  
  11                  50      0.862     0.725  0.0362       0.0724  
  11                 100      0.875     0.750  0.0346       0.0693  
  11                 150      0.874     0.747  0.0354       0.0710  
  11                 200      0.872     0.745  0.0391       0.0783  
  11                 250      0.876     0.751  0.0328       0.0658  
  11                 300      0.881     0.761  0.0356       0.0713  
  11                 350      0.881     0.762  0.0360       0.0722  
  11                 400      0.883     0.766  0.0405       0.0813  
  11                 450      0.880     0.760  0.0357       0.0717  
  11                 500      0.876     0.752  0.0351       0.0706  
  11                 550      0.877     0.754  0.0396       0.0795  
  11                 600      0.880     0.760  0.0371       0.0745  
  12                  50      0.874     0.749  0.0339       0.0678  
  12                 100      0.878     0.756  0.0397       0.0796  
  12                 150      0.882     0.764  0.0377       0.0755  
  12                 200      0.882     0.764  0.0314       0.0629  
  12                 250      0.884     0.768  0.0333       0.0667  
  12                 300      0.881     0.761  0.0303       0.0607  
  12                 350      0.882     0.764  0.0303       0.0606  
  12                 400      0.887     0.774  0.0321       0.0642  
  12                 450      0.883     0.766  0.0347       0.0695  
  12                 500      0.880     0.760  0.0307       0.0615  
  12                 550      0.879     0.757  0.0311       0.0625  
  12                 600      0.879     0.759  0.0332       0.0666  

Tuning parameter 'shrinkage' was held constant at a value of 0.1
Kappa was used to select the optimal model using  the largest value.
The final values used for the model were n.trees = 400, interaction.depth =
 12 and shrinkage = 0.1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 84 16
         1 14 86
                                          
               Accuracy : 0.85            
                 95% CI : (0.7928, 0.8965)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : <2e-16          
                                          
                  Kappa : 0.7             
 Mcnemar's Test P-Value : 0.8551          
                                          
            Sensitivity : 0.8571          
            Specificity : 0.8431          
         Pos Pred Value : 0.8400          
         Neg Pred Value : 0.8600          
             Prevalence : 0.4900          
         Detection Rate : 0.4200          
   Detection Prevalence : 0.5000          
      Balanced Accuracy : 0.8501          
                                          
       'Positive' Class : 0               
                                          
