Time difference of 10.13406 secs
[1] "==============="
glmnet 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 721, 720, 721, 720, 719, 720, ... 

Resampling results across tuning parameters:

  alpha  lambda  Accuracy  Kappa    Accuracy SD  Kappa SD
  0.100  0.100   0.832     0.66356  0.04244      0.08486 
  0.100  0.183   0.827     0.65341  0.04748      0.09513 
  0.100  0.266   0.824     0.64722  0.04580      0.09173 
  0.100  0.349   0.824     0.64844  0.04383      0.08779 
  0.100  0.431   0.819     0.63839  0.04343      0.08697 
  0.100  0.514   0.818     0.63589  0.04495      0.08999 
  0.100  0.597   0.815     0.62955  0.04469      0.08951 
  0.100  0.680   0.814     0.62820  0.04217      0.08447 
  0.100  0.763   0.808     0.61553  0.04517      0.09065 
  0.100  0.846   0.806     0.61162  0.04791      0.09619 
  0.100  0.929   0.801     0.60024  0.04625      0.09285 
  0.100  1.011   0.796     0.59015  0.04988      0.10013 
  0.100  1.094   0.792     0.58248  0.04892      0.09825 
  0.100  1.177   0.786     0.57101  0.04521      0.09081 
  0.100  1.260   0.779     0.55676  0.04644      0.09321 
  0.100  1.343   0.768     0.53379  0.04317      0.08662 
  0.100  1.426   0.747     0.49176  0.04329      0.08691 
  0.100  1.509   0.734     0.46355  0.03993      0.07994 
  0.100  1.591   0.717     0.42907  0.03326      0.06632 
  0.100  1.674   0.703     0.40024  0.03025      0.06048 
  0.100  1.757   0.677     0.34620  0.02420      0.04864 
  0.100  1.840   0.657     0.30445  0.02925      0.05914 
  0.100  1.923   0.616     0.22024  0.02976      0.06241 
  0.100  2.006   0.561     0.10659  0.02670      0.05545 
  0.100  2.089   0.535     0.05200  0.01852      0.03775 
  0.100  2.171   0.514     0.00780  0.00977      0.02080 
  0.100  2.254   0.510     0.00000  0.00374      0.00000 
  0.100  2.337   0.510     0.00000  0.00374      0.00000 
  0.100  2.420   0.510     0.00000  0.00374      0.00000 
  0.100  2.503   0.510     0.00000  0.00374      0.00000 
  0.100  2.586   0.510     0.00000  0.00374      0.00000 
  0.100  2.669   0.510     0.00000  0.00374      0.00000 
  0.100  2.751   0.510     0.00000  0.00374      0.00000 
  0.100  2.834   0.510     0.00000  0.00374      0.00000 
  0.100  2.917   0.510     0.00000  0.00374      0.00000 
  0.100  3.000   0.510     0.00000  0.00374      0.00000 
  0.182  0.100   0.831     0.66230  0.04046      0.08094 
  0.182  0.183   0.826     0.65095  0.04862      0.09726 
  0.182  0.266   0.821     0.64097  0.04348      0.08700 
  0.182  0.349   0.816     0.63092  0.04166      0.08338 
  0.182  0.431   0.814     0.62819  0.04317      0.08651 
  0.182  0.514   0.806     0.61176  0.04574      0.09181 
  0.182  0.597   0.795     0.58904  0.04769      0.09579 
  0.182  0.680   0.777     0.55386  0.05011      0.10048 
  0.182  0.763   0.763     0.52461  0.05327      0.10682 
  0.182  0.846   0.756     0.50906  0.05005      0.10051 
  0.182  0.929   0.750     0.49704  0.04703      0.09449 
  0.182  1.011   0.718     0.43159  0.03206      0.06377 
  0.182  1.094   0.671     0.33320  0.02253      0.04533 
  0.182  1.177   0.569     0.12212  0.02976      0.06276 
  0.182  1.260   0.511     0.00260  0.00440      0.00799 
  0.182  1.343   0.510     0.00000  0.00374      0.00000 
  0.182  1.426   0.510     0.00000  0.00374      0.00000 
  0.182  1.509   0.510     0.00000  0.00374      0.00000 
  0.182  1.591   0.510     0.00000  0.00374      0.00000 
  0.182  1.674   0.510     0.00000  0.00374      0.00000 
  0.182  1.757   0.510     0.00000  0.00374      0.00000 
  0.182  1.840   0.510     0.00000  0.00374      0.00000 
  0.182  1.923   0.510     0.00000  0.00374      0.00000 
  0.182  2.006   0.510     0.00000  0.00374      0.00000 
  0.182  2.089   0.510     0.00000  0.00374      0.00000 
  0.182  2.171   0.510     0.00000  0.00374      0.00000 
  0.182  2.254   0.510     0.00000  0.00374      0.00000 
  0.182  2.337   0.510     0.00000  0.00374      0.00000 
  0.182  2.420   0.510     0.00000  0.00374      0.00000 
  0.182  2.503   0.510     0.00000  0.00374      0.00000 
  0.182  2.586   0.510     0.00000  0.00374      0.00000 
  0.182  2.669   0.510     0.00000  0.00374      0.00000 
  0.182  2.751   0.510     0.00000  0.00374      0.00000 
  0.182  2.834   0.510     0.00000  0.00374      0.00000 
  0.182  2.917   0.510     0.00000  0.00374      0.00000 
  0.182  3.000   0.510     0.00000  0.00374      0.00000 
  0.264  0.100   0.831     0.66107  0.04582      0.09160 
  0.264  0.183   0.823     0.64601  0.04527      0.09053 
  0.264  0.266   0.816     0.63084  0.04257      0.08516 
  0.264  0.349   0.807     0.61320  0.04561      0.09144 
  0.264  0.431   0.786     0.57179  0.05353      0.10731 
  0.264  0.514   0.773     0.54502  0.05417      0.10873 
  0.264  0.597   0.761     0.51950  0.05570      0.11180 
  0.264  0.680   0.751     0.49855  0.05174      0.10397 
  0.264  0.763   0.700     0.39428  0.03280      0.06558 
  0.264  0.846   0.548     0.07798  0.02204      0.04624 
  0.264  0.929   0.510     0.00000  0.00374      0.00000 
  0.264  1.011   0.510     0.00000  0.00374      0.00000 
  0.264  1.094   0.510     0.00000  0.00374      0.00000 
  0.264  1.177   0.510     0.00000  0.00374      0.00000 
  0.264  1.260   0.510     0.00000  0.00374      0.00000 
  0.264  1.343   0.510     0.00000  0.00374      0.00000 
  0.264  1.426   0.510     0.00000  0.00374      0.00000 
  0.264  1.509   0.510     0.00000  0.00374      0.00000 
  0.264  1.591   0.510     0.00000  0.00374      0.00000 
  0.264  1.674   0.510     0.00000  0.00374      0.00000 
  0.264  1.757   0.510     0.00000  0.00374      0.00000 
  0.264  1.840   0.510     0.00000  0.00374      0.00000 
  0.264  1.923   0.510     0.00000  0.00374      0.00000 
  0.264  2.006   0.510     0.00000  0.00374      0.00000 
  0.264  2.089   0.510     0.00000  0.00374      0.00000 
  0.264  2.171   0.510     0.00000  0.00374      0.00000 
  0.264  2.254   0.510     0.00000  0.00374      0.00000 
  0.264  2.337   0.510     0.00000  0.00374      0.00000 
  0.264  2.420   0.510     0.00000  0.00374      0.00000 
  0.264  2.503   0.510     0.00000  0.00374      0.00000 
  0.264  2.586   0.510     0.00000  0.00374      0.00000 
  0.264  2.669   0.510     0.00000  0.00374      0.00000 
  0.264  2.751   0.510     0.00000  0.00374      0.00000 
  0.264  2.834   0.510     0.00000  0.00374      0.00000 
  0.264  2.917   0.510     0.00000  0.00374      0.00000 
  0.264  3.000   0.510     0.00000  0.00374      0.00000 
  0.345  0.100   0.828     0.65601  0.04351      0.08709 
  0.345  0.183   0.817     0.63465  0.04267      0.08542 
  0.345  0.266   0.804     0.60826  0.04817      0.09652 
