Time difference of 2.118694 hours
[1] "==============="
Heteroscedastic Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 720, 720, ... 

Resampling results across tuning parameters:

  gamma  lambda  newdim  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.100  0.0000   2        NaN       NaN      NA           NA  
  0.100  0.0000   3        NaN       NaN      NA           NA  
  0.100  0.0000   4        NaN       NaN      NA           NA  
  0.100  0.0000   5        NaN       NaN      NA           NA  
  0.100  0.0000   6        NaN       NaN      NA           NA  
  0.100  0.0000   7        NaN       NaN      NA           NA  
  0.100  0.0000   8      0.626     0.254  0.0267       0.0532  
  0.100  0.0000   9      0.632     0.266  0.0393       0.0784  
  0.100  0.0000  10      0.626     0.255  0.0381       0.0761  
  0.100  0.0000  11      0.623     0.249  0.0372       0.0743  
  0.100  0.0000  12      0.626     0.254  0.0418       0.0839  
  0.100  0.0909   2        NaN       NaN      NA           NA  
  0.100  0.0909   3        NaN       NaN      NA           NA  
  0.100  0.0909   4        NaN       NaN      NA           NA  
  0.100  0.0909   5        NaN       NaN      NA           NA  
  0.100  0.0909   6        NaN       NaN      NA           NA  
  0.100  0.0909   7        NaN       NaN      NA           NA  
  0.100  0.0909   8      0.626     0.254  0.0267       0.0532  
  0.100  0.0909   9      0.632     0.266  0.0393       0.0784  
  0.100  0.0909  10      0.626     0.255  0.0381       0.0761  
  0.100  0.0909  11      0.623     0.249  0.0372       0.0743  
  0.100  0.0909  12      0.626     0.254  0.0418       0.0839  
  0.100  0.1818   2        NaN       NaN      NA           NA  
  0.100  0.1818   3        NaN       NaN      NA           NA  
  0.100  0.1818   4        NaN       NaN      NA           NA  
  0.100  0.1818   5        NaN       NaN      NA           NA  
  0.100  0.1818   6        NaN       NaN      NA           NA  
  0.100  0.1818   7        NaN       NaN      NA           NA  
  0.100  0.1818   8      0.626     0.255  0.0253       0.0503  
  0.100  0.1818   9      0.632     0.267  0.0388       0.0775  
  0.100  0.1818  10      0.626     0.255  0.0381       0.0761  
  0.100  0.1818  11      0.622     0.247  0.0361       0.0722  
  0.100  0.1818  12      0.626     0.254  0.0418       0.0839  
  0.100  0.2727   2        NaN       NaN      NA           NA  
  0.100  0.2727   3        NaN       NaN      NA           NA  
  0.100  0.2727   4        NaN       NaN      NA           NA  
  0.100  0.2727   5        NaN       NaN      NA           NA  
  0.100  0.2727   6        NaN       NaN      NA           NA  
  0.100  0.2727   7        NaN       NaN      NA           NA  
  0.100  0.2727   8      0.626     0.255  0.0256       0.0510  
  0.100  0.2727   9      0.632     0.267  0.0388       0.0775  
  0.100  0.2727  10      0.625     0.252  0.0396       0.0791  
  0.100  0.2727  11      0.622     0.246  0.0370       0.0739  
