Time difference of 19.78488 mins
[1] "==============="
Regularized Discriminant Analysis 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 719, 720, 719, ... 

Resampling results across tuning parameters:

  gamma   lambda  Accuracy  Kappa  Accuracy SD  Kappa SD
  0.0000  0.0000    NaN       NaN      NA           NA  
  0.0000  0.0909    NaN       NaN      NA           NA  
  0.0000  0.1818    NaN       NaN      NA           NA  
  0.0000  0.2727    NaN       NaN      NA           NA  
  0.0000  0.3636    NaN       NaN      NA           NA  
  0.0000  0.4545    NaN       NaN      NA           NA  
  0.0000  0.5455    NaN       NaN      NA           NA  
  0.0000  0.6364    NaN       NaN      NA           NA  
  0.0000  0.7273    NaN       NaN      NA           NA  
  0.0000  0.8182    NaN       NaN      NA           NA  
  0.0000  0.9091    NaN       NaN      NA           NA  
  0.0000  1.0000    NaN       NaN      NA           NA  
  0.0909  0.0000  0.886     0.771  0.0412       0.0823  
  0.0909  0.0909  0.883     0.766  0.0398       0.0795  
  0.0909  0.1818  0.888     0.776  0.0400       0.0800  
  0.0909  0.2727  0.887     0.774  0.0405       0.0809  
  0.0909  0.3636  0.886     0.771  0.0401       0.0801  
  0.0909  0.4545  0.885     0.770  0.0393       0.0786  
  0.0909  0.5455  0.888     0.775  0.0393       0.0784  
  0.0909  0.6364  0.886     0.771  0.0433       0.0864  
  0.0909  0.7273  0.886     0.773  0.0414       0.0828  
  0.0909  0.8182  0.887     0.774  0.0410       0.0818  
  0.0909  0.9091  0.885     0.770  0.0414       0.0828  
  0.0909  1.0000  0.886     0.771  0.0406       0.0811  
  0.1818  0.0000  0.881     0.761  0.0428       0.0855  
  0.1818  0.0909  0.885     0.770  0.0400       0.0799  
  0.1818  0.1818  0.881     0.763  0.0424       0.0847  
  0.1818  0.2727  0.884     0.768  0.0416       0.0831  
  0.1818  0.3636  0.883     0.765  0.0440       0.0879  
  0.1818  0.4545  0.881     0.763  0.0408       0.0814  
  0.1818  0.5455  0.886     0.773  0.0396       0.0792  
  0.1818  0.6364  0.881     0.763  0.0417       0.0835  
  0.1818  0.7273  0.882     0.764  0.0425       0.0850  
  0.1818  0.8182  0.881     0.763  0.0430       0.0859  
  0.1818  0.9091  0.884     0.768  0.0375       0.0750  
  0.1818  1.0000  0.883     0.766  0.0412       0.0825  
  0.2727  0.0000  0.881     0.761  0.0444       0.0886  
  0.2727  0.0909  0.880     0.760  0.0456       0.0910  
  0.2727  0.1818  0.880     0.760  0.0446       0.0889  
  0.2727  0.2727  0.878     0.755  0.0452       0.0904  
  0.2727  0.3636  0.879     0.758  0.0456       0.0911  
  0.2727  0.4545  0.880     0.759  0.0430       0.0858  
  0.2727  0.5455  0.878     0.755  0.0440       0.0879  
  0.2727  0.6364  0.879     0.758  0.0433       0.0866  
  0.2727  0.7273  0.878     0.757  0.0429       0.0856  
  0.2727  0.8182  0.880     0.760  0.0433       0.0865  
  0.2727  0.9091  0.879     0.758  0.0450       0.0899  
  0.2727  1.0000  0.879     0.758  0.0418       0.0835  
  0.3636  0.0000  0.873     0.745  0.0450       0.0899  
  0.3636  0.0909  0.874     0.748  0.0418       0.0834  
  0.3636  0.1818  0.875     0.749  0.0428       0.0854  
  0.3636  0.2727  0.876     0.752  0.0436       0.0871  
  0.3636  0.3636  0.875     0.750  0.0455       0.0908  
  0.3636  0.4545  0.875     0.749  0.0441       0.0881  
  0.3636  0.5455  0.873     0.747  0.0451       0.0901  
  0.3636  0.6364  0.873     0.745  0.0434       0.0866  
  0.3636  0.7273  0.876     0.753  0.0431       0.0859  
  0.3636  0.8182  0.872     0.744  0.0451       0.0899  
  0.3636  0.9091  0.873     0.747  0.0466       0.0930  
  0.3636  1.0000  0.876     0.752  0.0432       0.0862  
