Time difference of 14.8118 mins
[1] "==============="
Random k-Nearest Neighbors 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 721, 721, 719, 720, ... 

Resampling results across tuning parameters:

  mtry  k   Accuracy  Kappa  Accuracy SD  Kappa SD
   2     5  0.746     0.489  0.0511       0.1029  
   2     7  0.756     0.510  0.0435       0.0881  
   2     9  0.752     0.502  0.0452       0.0909  
   2    11  0.757     0.511  0.0419       0.0841  
   2    13  0.755     0.507  0.0437       0.0876  
   2    15  0.753     0.504  0.0474       0.0954  
   2    17  0.747     0.491  0.0449       0.0901  
   2    19  0.751     0.498  0.0458       0.0924  
   2    21  0.750     0.497  0.0468       0.0944  
   2    23  0.746     0.490  0.0493       0.0993  
   2    25  0.747     0.492  0.0480       0.0963  
   2    27  0.756     0.508  0.0386       0.0774  
   5     5  0.827     0.653  0.0464       0.0931  
   5     7  0.821     0.640  0.0394       0.0791  
   5     9  0.821     0.642  0.0422       0.0849  
   5    11  0.820     0.639  0.0366       0.0735  
   5    13  0.815     0.629  0.0395       0.0792  
   5    15  0.811     0.622  0.0338       0.0678  
   5    17  0.806     0.610  0.0325       0.0654  
   5    19  0.811     0.620  0.0371       0.0745  
   5    21  0.815     0.629  0.0376       0.0754  
   5    23  0.804     0.606  0.0372       0.0748  
   5    25  0.809     0.616  0.0353       0.0709  
   5    27  0.808     0.614  0.0367       0.0739  
   8     5  0.832     0.663  0.0439       0.0882  
   8     7  0.832     0.663  0.0343       0.0688  
   8     9  0.824     0.648  0.0385       0.0773  
   8    11  0.830     0.659  0.0354       0.0711  
   8    13  0.826     0.650  0.0388       0.0779  
   8    15  0.827     0.653  0.0437       0.0881  
   8    17  0.824     0.647  0.0366       0.0734  
   8    19  0.825     0.649  0.0338       0.0680  
   8    21  0.819     0.637  0.0362       0.0728  
   8    23  0.822     0.644  0.0371       0.0745  
   8    25  0.821     0.640  0.0377       0.0756  
   8    27  0.822     0.644  0.0396       0.0796  
  12     5  0.837     0.673  0.0427       0.0858  
