Time difference of 12.5413 secs
[1] "==============="
Cost-Sensitive CART 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 719, 721, ... 

Resampling results across tuning parameters:

  Cost  cp       Accuracy  Kappa  Accuracy SD  Kappa SD
   1    0.00510  0.786     0.571  0.0432       0.0867  
   1    0.00893  0.782     0.564  0.0444       0.0890  
   1    0.01020  0.781     0.562  0.0432       0.0867  
   1    0.01276  0.772     0.545  0.0567       0.1136  
   1    0.01786  0.759     0.518  0.0613       0.1227  
   1    0.02168  0.755     0.509  0.0603       0.1210  
   1    0.02296  0.754     0.507  0.0578       0.1159  
   1    0.03316  0.741     0.482  0.0551       0.1102  
   1    0.03571  0.734     0.467  0.0573       0.1145  
   1    0.04082  0.722     0.444  0.0553       0.1112  
   1    0.05102  0.699     0.399  0.0516       0.1026  
   2    0.00510  0.764     0.530  0.0486       0.0967  
   2    0.00893  0.772     0.546  0.0480       0.0954  
   2    0.01020  0.767     0.536  0.0490       0.0973  
   2    0.01276  0.759     0.521  0.0461       0.0916  
   2    0.01786  0.752     0.506  0.0411       0.0813  
   2    0.02168  0.750     0.503  0.0481       0.0956  
   2    0.02296  0.747     0.498  0.0479       0.0950  
   2    0.03316  0.735     0.473  0.0479       0.0953  
   2    0.03571  0.734     0.472  0.0484       0.0964  
   2    0.04082  0.728     0.459  0.0473       0.0942  
   2    0.05102  0.706     0.416  0.0536       0.1057  
   3    0.00510  0.755     0.512  0.0523       0.1037  
   3    0.00893  0.755     0.512  0.0503       0.0996  
   3    0.01020  0.753     0.508  0.0518       0.1025  
   3    0.01276  0.745     0.493  0.0451       0.0892  
   3    0.01786  0.733     0.470  0.0415       0.0819  
   3    0.02168  0.731     0.467  0.0401       0.0791  
   3    0.02296  0.729     0.463  0.0376       0.0743  
   3    0.03316  0.724     0.453  0.0428       0.0849  
   3    0.03571  0.718     0.441  0.0599       0.1183  
   3    0.04082  0.711     0.426  0.0593       0.1170  
   3    0.05102  0.689     0.383  0.0458       0.0906  
   4    0.00510  0.758     0.518  0.0373       0.0742  
   4    0.00893  0.744     0.491  0.0359       0.0718  
   4    0.01020  0.743     0.489  0.0371       0.0739  
   4    0.01276  0.734     0.471  0.0391       0.0778  
   4    0.01786  0.723     0.451  0.0416       0.0822  
   4    0.02168  0.726     0.457  0.0370       0.0730  
   4    0.02296  0.729     0.463  0.0394       0.0778  
   4    0.03316  0.710     0.425  0.0394       0.0781  
   4    0.03571  0.702     0.409  0.0426       0.0849  
   4    0.04082  0.690     0.387  0.0516       0.1016  
   4    0.05102  0.684     0.375  0.0577       0.1135  
   5    0.00510  0.745     0.493  0.0459       0.0910  
   5    0.00893  0.738     0.480  0.0464       0.0922  
   5    0.01020  0.739     0.482  0.0469       0.0933  
   5    0.01276  0.727     0.459  0.0496       0.0985  
   5    0.01786  0.720     0.444  0.0396       0.0786  
   5    0.02168  0.720     0.444  0.0396       0.0785  
   5    0.02296  0.715     0.435  0.0379       0.0752  
   5    0.03316  0.692     0.390  0.0405       0.0799  
   5    0.03571  0.684     0.374  0.0449       0.0890  
   5    0.04082  0.662     0.333  0.0471       0.0932  
   5    0.05102  0.657     0.323  0.0514       0.1014  
   6    0.00510  0.751     0.506  0.0482       0.0954  
   6    0.00893  0.744     0.492  0.0483       0.0956  
   6    0.01020  0.739     0.482  0.0497       0.0982  
   6    0.01276  0.731     0.465  0.0481       0.0950  
   6    0.01786  0.719     0.444  0.0442       0.0871  
   6    0.02168  0.724     0.453  0.0434       0.0856  
   6    0.02296  0.719     0.444  0.0424       0.0837  
   6    0.03316  0.696     0.397  0.0443       0.0874  
   6    0.03571  0.676     0.359  0.0459       0.0904  
   6    0.04082  0.662     0.331  0.0493       0.0972  
   6    0.05102  0.649     0.306  0.0446       0.0876  
   7    0.00510  0.752     0.507  0.0421       0.0839  
   7    0.00893  0.746     0.496  0.0411       0.0816  
   7    0.01020  0.742     0.487  0.0430       0.0851  
   7    0.01276  0.734     0.473  0.0435       0.0860  
   7    0.01786  0.720     0.445  0.0398       0.0784  
   7    0.02168  0.718     0.440  0.0387       0.0761  
   7    0.02296  0.714     0.434  0.0399       0.0788  
   7    0.03316  0.689     0.385  0.0452       0.0883  
   7    0.03571  0.674     0.356  0.0529       0.1038  
   7    0.04082  0.666     0.339  0.0523       0.1026  
   7    0.05102  0.642     0.294  0.0593       0.1145  
   8    0.00510  0.736     0.475  0.0410       0.0810  
   8    0.00893  0.740     0.483  0.0447       0.0882  
   8    0.01020  0.733     0.470  0.0471       0.0931  
   8    0.01276  0.728     0.460  0.0487       0.0960  
   8    0.01786  0.715     0.435  0.0450       0.0884  
   8    0.02168  0.711     0.428  0.0427       0.0838  
   8    0.02296  0.710     0.425  0.0437       0.0859  
   8    0.03316  0.682     0.371  0.0485       0.0943  
   8    0.03571  0.674     0.355  0.0511       0.0998  
   8    0.04082  0.664     0.336  0.0477       0.0934  
   8    0.05102  0.639     0.286  0.0368       0.0725  
   9    0.00510  0.731     0.466  0.0299       0.0589  
   9    0.00893  0.736     0.476  0.0374       0.0737  
   9    0.01020  0.730     0.464  0.0412       0.0813  
   9    0.01276  0.723     0.451  0.0415       0.0816  
   9    0.01786  0.713     0.430  0.0426       0.0835  
   9    0.02168  0.708     0.422  0.0387       0.0759  
   9    0.02296  0.706     0.418  0.0410       0.0803  
   9    0.03316  0.681     0.370  0.0499       0.0967  
   9    0.03571  0.674     0.356  0.0534       0.1041  
   9    0.04082  0.662     0.332  0.0533       0.1040  
   9    0.05102  0.627     0.264  0.0426       0.0839  
  10    0.00510  0.727     0.459  0.0393       0.0773  
  10    0.00893  0.724     0.452  0.0419       0.0822  
  10    0.01020  0.719     0.442  0.0441       0.0864  
  10    0.01276  0.724     0.453  0.0396       0.0777  
  10    0.01786  0.714     0.434  0.0408       0.0798  
  10    0.02168  0.707     0.419  0.0360       0.0705  
  10    0.02296  0.703     0.412  0.0387       0.0756  
  10    0.03316  0.675     0.357  0.0499       0.0972  
  10    0.03571  0.674     0.355  0.0518       0.1007  
  10    0.04082  0.662     0.332  0.0524       0.1021  
