Time difference of 1.487179 mins
[1] "==============="
Support Vector Machines with Class Weights 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 719, 720, ... 

Resampling results across tuning parameters:

  C       Weight  Accuracy  Kappa  Accuracy SD  Kappa SD
    0.25   1      0.831     0.662  0.0427       0.0856  
    0.25   2      0.807     0.615  0.0452       0.0897  
    0.25   3      0.764     0.531  0.0468       0.0921  
    0.25   4      0.731     0.468  0.0419       0.0814  
    0.25   5      0.706     0.419  0.0441       0.0855  
    0.25   6      0.689     0.385  0.0383       0.0738  
    0.25   7      0.674     0.356  0.0427       0.0822  
    0.25   8      0.669     0.347  0.0426       0.0820  
    0.25   9      0.668     0.345  0.0420       0.0808  
    0.25  10      0.667     0.344  0.0420       0.0807  
    0.25  11      0.667     0.344  0.0420       0.0807  
    0.25  12      0.667     0.342  0.0417       0.0802  
    0.50   1      0.841     0.682  0.0447       0.0895  
    0.50   2      0.837     0.675  0.0299       0.0594  
    0.50   3      0.809     0.621  0.0352       0.0696  
    0.50   4      0.796     0.595  0.0405       0.0798  
    0.50   5      0.784     0.572  0.0356       0.0697  
    0.50   6      0.777     0.559  0.0363       0.0711  
    0.50   7      0.773     0.550  0.0358       0.0700  
    0.50   8      0.772     0.549  0.0363       0.0710  
    0.50   9      0.772     0.548  0.0359       0.0702  
    0.50  10      0.770     0.544  0.0361       0.0707  
    0.50  11      0.770     0.544  0.0361       0.0707  
    0.50  12      0.770     0.544  0.0361       0.0707  
    1.00   1      0.852     0.705  0.0416       0.0832  
    1.00   2      0.848     0.697  0.0286       0.0570  
    1.00   3      0.839     0.680  0.0327       0.0649  
    1.00   4      0.830     0.662  0.0349       0.0691  
    1.00   5      0.826     0.654  0.0365       0.0722  
    1.00   6      0.825     0.652  0.0356       0.0704  
    1.00   7      0.826     0.653  0.0355       0.0702  
    1.00   8      0.826     0.653  0.0355       0.0702  
    1.00   9      0.826     0.653  0.0355       0.0702  
    1.00  10      0.826     0.653  0.0355       0.0702  
    1.00  11      0.826     0.653  0.0355       0.0702  
    1.00  12      0.826     0.653  0.0355       0.0702  
    2.00   1      0.861     0.721  0.0387       0.0774  
    2.00   2      0.859     0.719  0.0346       0.0690  
    2.00   3      0.854     0.708  0.0345       0.0687  
    2.00   4      0.851     0.703  0.0347       0.0691  
    2.00   5      0.850     0.701  0.0342       0.0681  
    2.00   6      0.851     0.702  0.0350       0.0698  
    2.00   7      0.851     0.702  0.0350       0.0698  
    2.00   8      0.851     0.702  0.0350       0.0698  
    2.00   9      0.851     0.702  0.0350       0.0698  
    2.00  10      0.851     0.702  0.0350       0.0698  
    2.00  11      0.851     0.702  0.0350       0.0698  
    2.00  12      0.851     0.702  0.0350       0.0698  
    4.00   1      0.859     0.719  0.0383       0.0765  
    4.00   2      0.857     0.714  0.0369       0.0737  
    4.00   3      0.854     0.708  0.0372       0.0744  
    4.00   4      0.854     0.708  0.0380       0.0758  
    4.00   5      0.854     0.708  0.0380       0.0758  
    4.00   6      0.854     0.708  0.0380       0.0758  
    4.00   7      0.854     0.708  0.0380       0.0758  
    4.00   8      0.854     0.708  0.0380       0.0758  
    4.00   9      0.854     0.708  0.0380       0.0758  
    4.00  10      0.854     0.708  0.0380       0.0758  
    4.00  11      0.854     0.708  0.0380       0.0758  
    4.00  12      0.854     0.708  0.0380       0.0758  
    8.00   1      0.860     0.720  0.0372       0.0744  
    8.00   2      0.857     0.715  0.0390       0.0780  
    8.00   3      0.858     0.716  0.0385       0.0771  
    8.00   4      0.858     0.716  0.0385       0.0771  
    8.00   5      0.858     0.716  0.0385       0.0771  
    8.00   6      0.858     0.716  0.0385       0.0771  
    8.00   7      0.858     0.716  0.0385       0.0771  
    8.00   8      0.858     0.716  0.0385       0.0771  
    8.00   9      0.858     0.716  0.0385       0.0771  
    8.00  10      0.858     0.716  0.0385       0.0771  
